country,year,co2_emission
Country_1,1900,733.39
Country_1,1901,729.37
Country_1,1902,718.93
Country_1,1903,724.37
Country_1,1904,728.48
Country_1,1905,734.98
Country_1,1906,732.61
Country_1,1907,736.73
Country_1,1908,726.89
Country_1,1909,731.97
Country_1,1910,725.67
Country_1,1911,737.96
Country_1,1912,726.95
Country_1,1913,729.3
Country_1,1914,726.34
Country_1,1915,736.43
Country_1,1916,730.96
Country_1,1917,737.49
Country_1,1918,737.89
Country_1,1919,733.48
Country_1,1920,736.86
Country_1,1921,733.68
Country_1,1922,730.0
Country_1,1923,737.21
Country_1,1924,729.32
Country_1,1925,735.71
Country_1,1926,734.5
Country_1,1927,733.57
Country_1,1928,730.45
Country_1,1929,730.15
Country_1,1930,718.72
Country_1,1931,730.55
Country_1,1932,733.07
Country_1,1933,739.01
Country_1,1934,726.63
Country_1,1935,729.83
Country_1,1936,734.38
Country_1,1937,729.89
Country_1,1938,735.83
Country_1,1939,735.86
Country_1,1940,739.02
Country_1,1941,732.38
Country_1,1942,740.53
Country_1,1943,730.17
Country_1,1944,734.68
Country_1,1945,731.19
Country_1,1946,730.21
Country_1,1947,734.63
Country_1,1948,730.37
Country_1,1949,737.95
Country_1,1950,766.83
Country_1,1951,779.35
Country_1,1952,787.72
Country_1,1953,816.99
Country_1,1954,836.29
Country_1,1955,862.71
Country_1,1956,877.47
Country_1,1957,923.91
Country_1,1958,948.64
Country_1,1959,965.85
Country_1,1960,985.59
Country_1,1961,1034.24
Country_1,1962,1058.66
Country_1,1963,1105.0
Country_1,1964,1126.95
Country_1,1965,1172.14
Country_1,1966,1197.34
Country_1,1967,1264.12
Country_1,1968,1295.36
Country_1,1969,1338.72
Country_1,1970,1385.82
Country_1,1971,1408.68
Country_1,1972,1425.73
Country_1,1973,1471.33
Country_1,1974,1536.77
Country_1,1975,1593.79
Country_1,1976,1614.06
Country_1,1977,1677.31
Country_1,1978,1725.44
Country_1,1979,1747.82
Country_1,1980,1759.52
Country_1,1981,1815.55
Country_1,1982,1850.52
Country_1,1983,1910.36
Country_1,1984,1974.74
Country_1,1985,2023.91
Country_1,1986,2083.16
Country_1,1987,2170.46
Country_1,1988,2259.71
Country_1,1989,2306.36
Country_1,1990,2400.47
Country_1,1991,2454.35
Country_1,1992,2562.57
Country_1,1993,2619.85
Country_1,1994,2747.72
Country_1,1995,2817.39
Country_1,1996,2922.59
Country_1,1997,2950.9
Country_1,1998,3085.75
Country_1,1999,3194.37
Country_1,2000,3331.91
Country_1,2001,3468.97
Country_1,2002,3523.93
Country_1,2003,3572.47
Country_1,2004,3677.6
Country_1,2005,3861.89
Country_1,2006,4027.8
Country_1,2007,4219.2
Country_1,2008,4393.59
Country_1,2009,4435.54
Country_1,2010,4584.77
Country_1,2011,4739.37
Country_1,2012,4939.28
Country_1,2013,5186.82
Country_1,2014,5388.74
Country_1,2015,5547.03
Country_1,2016,5787.92
Country_1,2017,5953.2
Country_1,2018,6161.78
Country_1,2019,6355.81
Country_1,2020,6650.23
Country_1,2021,6746.77
Country_1,2022,6872.06
Country_1,2023,7173.58
Country_2,1900,775.14
Country_2,1901,783.49
