country,year,avg_precipitation
Country_1,1900,1942.0
Country_1,1901,1897.0
Country_1,1902,1879.9
Country_1,1903,1966.9
Country_1,1904,1889.0
Country_1,1905,1894.6
Country_1,1906,1945.8
Country_1,1907,1896.1
Country_1,1908,1894.3
Country_1,1909,1899.4
Country_1,1910,1945.5
Country_1,1911,2065.0
Country_1,1912,1970.2
Country_1,1913,1964.8
Country_1,1914,1882.0
Country_1,1915,1955.2
Country_1,1916,1963.8
Country_1,1917,1850.7
Country_1,1918,1905.6
Country_1,1919,1967.8
Country_1,1920,1922.3
Country_1,1921,2000.8
Country_1,1922,1880.1
Country_1,1923,1855.1
Country_1,1924,1927.0
Country_1,1925,1886.6
Country_1,1926,1904.7
Country_1,1927,1938.9
Country_1,1928,1934.8
Country_1,1929,1913.2
Country_1,1930,1911.5
Country_1,1931,1906.3
Country_1,1932,1917.8
Country_1,1933,1878.9
Country_1,1934,1842.4
Country_1,1935,1931.2
Country_1,1936,1926.3
Country_1,1937,1897.3
Country_1,1938,1925.7
Country_1,1939,1887.3
Country_1,1940,1995.3
Country_1,1941,1882.0
Country_1,1942,1972.2
Country_1,1943,1926.5
Country_1,1944,1864.9
Country_1,1945,1957.1
Country_1,1946,1881.8
Country_1,1947,1978.3
Country_1,1948,2053.0
Country_1,1949,1854.1
Country_1,1950,1882.7
Country_1,1951,1892.1
Country_1,1952,1968.4
Country_1,1953,2019.4
Country_1,1954,1878.3
Country_1,1955,1974.2
Country_1,1956,1933.4
Country_1,1957,1922.2
Country_1,1958,1953.0
Country_1,1959,1957.4
Country_1,1960,1919.2
Country_1,1961,1949.7
Country_1,1962,1964.9
Country_1,1963,1936.8
Country_1,1964,2014.2
Country_1,1965,1944.0
Country_1,1966,1995.2
Country_1,1967,1951.8
Country_1,1968,1975.5
Country_1,1969,1887.4
Country_1,1970,1899.3
Country_1,1971,1902.5
Country_1,1972,1932.5
Country_1,1973,1928.4
Country_1,1974,1967.5
Country_1,1975,1893.0
Country_1,1976,2009.1
Country_1,1977,2014.3
Country_1,1978,2008.6
Country_1,1979,1989.4
Country_1,1980,2019.7
Country_1,1981,1913.4
Country_1,1982,1992.2
Country_1,1983,1984.2
Country_1,1984,1929.1
Country_1,1985,2005.4
Country_1,1986,1929.6
Country_1,1987,1915.7
Country_1,1988,1908.3
Country_1,1989,1966.7
Country_1,1990,1890.6
Country_1,1991,1990.0
Country_1,1992,1904.1
Country_1,1993,1960.2
Country_1,1994,1895.4
Country_1,1995,1885.2
Country_1,1996,1866.2
Country_1,1997,1925.5
Country_1,1998,2014.6
Country_1,1999,1946.7
Country_1,2000,1936.3
Country_1,2001,1853.7
Country_1,2002,1994.1
Country_1,2003,1969.0
Country_1,2004,1925.8
Country_1,2005,1952.0
Country_1,2006,1883.9
Country_1,2007,1931.0
Country_1,2008,1946.4
Country_1,2009,1969.7
Country_1,2010,1974.9
Country_1,2011,1819.9
Country_1,2012,1944.2
Country_1,2013,1860.1
Country_1,2014,1912.0
Country_1,2015,1920.3
Country_1,2016,1923.3
Country_1,2017,1903.6
Country_1,2018,1952.8
Country_1,2019,1942.7
Country_1,2020,2003.6
Country_1,2021,1913.6
Country_1,2022,1970.0
Country_1,2023,1866.9
Country_2,1900,1202.0
Country_2,1901,1290.2
Country_2,1902,1266.5
Country_2,1903,1289.3
Country_2,1904,1218.0
Country_2,1905,1221.7
Country_2,1906,1231.3
Country_2,1907,1243.3
Country_2,1908,1272.7
Country_2,1909,1265.4
Country_2,1910,1308.9
Country_2,1911,1257.2
Country_2,1912,1339.3
Country_2,1913,1299.8
Country_2,1914,1327.0
Country_2,1915,1190.7
Country_2,1916,1199.9
Country_2,1917,1355.3
Country_2,1918,1345.0
Country_2,1919,1347.1
Country_2,1920,1261.5
Country_2,1921,1317.3
Country_2,1922,1299.1
Country_2,1923,1241.4
Country_2,1924,1229.4
Country_2,1925,1259.0
Country_2,1926,1308.8
Country_2,1927,1276.0
Country_2,1928,1298.2
Country_2,1929,1232.8
Country_2,1930,1273.4
Country_2,1931,1302.9
Country_2,1932,1210.4
Country_2,1933,1228.0
Country_2,1934,1242.1
Country_2,1935,1297.5
Country_2,1936,1231.1
Country_2,1937,1289.5
Country_2,1938,1263.2
Country_2,1939,1287.9
Country_2,1940,1249.4
Country_2,1941,1285.5
Country_2,1942,1254.7
Country_2,1943,1169.1
Country_2,1944,1253.4
Country_2,1945,1287.3
Country_2,1946,1160.4
Country_2,1947,1197.1
Country_2,1948,1250.2
Country_2,1949,1280.1
Country_2,1950,1228.5
Country_2,1951,1253.6
Country_2,1952,1222.0
Country_2,1953,1319.2
Country_2,1954,1364.8
Country_2,1955,1279.5
Country_2,1956,1268.2
Country_2,1957,1260.8
Country_2,1958,1307.3
Country_2,1959,1283.5
Country_2,1960,1245.4
Country_2,1961,1397.9
Country_2,1962,1249.6
Country_2,1963,1259.5
Country_2,1964,1354.4
Country_2,1965,1270.7
Country_2,1966,1305.8
Country_2,1967,1231.0
Country_2,1968,1273.9
Country_2,1969,1265.2
Country_2,1970,1243.8
