country,year,avg_temperature
Country_1,1900,15.28
Country_1,1901,15.94
Country_1,1902,15.48
Country_1,1903,15.95
Country_1,1904,15.55
Country_1,1905,15.05
Country_1,1906,16.48
Country_1,1907,15.57
Country_1,1908,15.83
Country_1,1909,15.7
Country_1,1910,15.7
Country_1,1911,16.11
Country_1,1912,15.86
Country_1,1913,15.34
Country_1,1914,15.42
Country_1,1915,15.88
Country_1,1916,16.13
Country_1,1917,15.69
Country_1,1918,15.83
Country_1,1919,15.63
Country_1,1920,15.61
Country_1,1921,16.17
Country_1,1922,16.96
Country_1,1923,15.94
Country_1,1924,16.25
Country_1,1925,15.54
Country_1,1926,15.94
Country_1,1927,16.37
Country_1,1928,16.45
Country_1,1929,16.26
Country_1,1930,16.45
Country_1,1931,16.19
Country_1,1932,16.23
Country_1,1933,15.51
Country_1,1934,16.12
Country_1,1935,15.85
Country_1,1936,15.96
Country_1,1937,16.1
Country_1,1938,16.29
Country_1,1939,15.86
Country_1,1940,15.98
Country_1,1941,16.65
Country_1,1942,16.1
Country_1,1943,16.53
Country_1,1944,16.47
Country_1,1945,16.02
Country_1,1946,16.19
Country_1,1947,16.49
Country_1,1948,16.75
Country_1,1949,16.29
Country_1,1950,16.76
Country_1,1951,16.49
Country_1,1952,16.47
Country_1,1953,16.2
Country_1,1954,16.65
Country_1,1955,16.2
Country_1,1956,16.2
Country_1,1957,16.23
Country_1,1958,16.85
Country_1,1959,17.32
Country_1,1960,16.53
Country_1,1961,16.75
Country_1,1962,16.41
Country_1,1963,16.82
Country_1,1964,16.77
Country_1,1965,16.25
Country_1,1966,16.32
Country_1,1967,16.78
Country_1,1968,17.04
Country_1,1969,16.88
Country_1,1970,16.66
Country_1,1971,16.2
Country_1,1972,17.17
Country_1,1973,16.78
Country_1,1974,17.14
Country_1,1975,16.8
Country_1,1976,16.53
Country_1,1977,16.58
Country_1,1978,16.9
Country_1,1979,16.66
Country_1,1980,16.75
Country_1,1981,16.53
Country_1,1982,17.31
Country_1,1983,16.43
Country_1,1984,16.82
Country_1,1985,17.09
Country_1,1986,17.11
Country_1,1987,16.74
Country_1,1988,16.75
Country_1,1989,17.05
Country_1,1990,17.13
Country_1,1991,17.02
Country_1,1992,17.46
Country_1,1993,17.02
Country_1,1994,16.95
Country_1,1995,17.22
Country_1,1996,17.42
Country_1,1997,17.26
Country_1,1998,16.46
Country_1,1999,17.01
Country_1,2000,16.99
Country_1,2001,17.2
Country_1,2002,16.95
Country_1,2003,17.61
Country_1,2004,17.09
Country_1,2005,16.94
Country_1,2006,16.77
Country_1,2007,17.23
Country_1,2008,17.92
Country_1,2009,17.02
Country_1,2010,17.23
Country_1,2011,17.1
Country_1,2012,16.72
Country_1,2013,17.46
Country_1,2014,17.31
Country_1,2015,17.75
Country_1,2016,17.33
Country_1,2017,17.39
Country_1,2018,16.98
Country_1,2019,17.79
Country_1,2020,17.45
Country_1,2021,17.96
Country_1,2022,17.89
Country_1,2023,16.94
Country_2,1900,15.71
Country_2,1901,15.22
Country_2,1902,14.63
Country_2,1903,15.47
Country_2,1904,15.13
Country_2,1905,15.59
Country_2,1906,15.15
Country_2,1907,15.02
Country_2,1908,15.93
Country_2,1909,15.42
Country_2,1910,15.56
Country_2,1911,15.22
Country_2,1912,14.95
Country_2,1913,15.34
Country_2,1914,16.36
Country_2,1915,15.16
Country_2,1916,15.24
Country_2,1917,15.15
Country_2,1918,15.49
Country_2,1919,15.25
Country_2,1920,15.21
Country_2,1921,15.12
Country_2,1922,15.13
Country_2,1923,15.42
Country_2,1924,15.6
Country_2,1925,15.58
Country_2,1926,15.44
Country_2,1927,15.34
Country_2,1928,15.14
Country_2,1929,15.83
Country_2,1930,15.19
Country_2,1931,15.42
Country_2,1932,15.68
Country_2,1933,15.73
Country_2,1934,16.04
Country_2,1935,15.41
Country_2,1936,15.02
Country_2,1937,15.72
Country_2,1938,15.82
Country_2,1939,15.89
Country_2,1940,15.68
Country_2,1941,15.71
Country_2,1942,16.12
Country_2,1943,15.75
Country_2,1944,15.32
Country_2,1945,16.4
Country_2,1946,16.16
Country_2,1947,16.16
Country_2,1948,16.05
Country_2,1949,16.64
Country_2,1950,15.84
Country_2,1951,16.11
Country_2,1952,15.92
Country_2,1953,15.85
Country_2,1954,16.16
Country_2,1955,15.89
Country_2,1956,16.26
Country_2,1957,16.87
Country_2,1958,16.13
Country_2,1959,16.24
Country_2,1960,16.6
Country_2,1961,16.37
Country_2,1962,16.11
Country_2,1963,15.47
Country_2,1964,16.08
Country_2,1965,16.15
Country_2,1966,16.14
Country_2,1967,16.38
Country_2,1968,17.02
Country_2,1969,16.46
Country_2,1970,16.26
Country_2,1971,15.49
Country_2,1972,16.2
Country_2,1973,16.48
Country_2,1974,16.61
Country_2,1975,16.13
Country_2,1976,16.0
Country_2,1977,16.1
Country_2,1978,16.07
Country_2,1979,16.94
Country_2,1980,15.96
Country_2,1981,15.79
Country_2,1982,16.29
Country_2,1983,16.46
Country_2,1984,16.58
Country_2,1985,16.37
Country_2,1986,16.57
Country_2,1987,16.74
Country_2,1988,16.62
Country_2,1989,16.71
Country_2,1990,16.39
Country_2,1991,16.65
Country_2,1992,16.33
Country_2,1993,16.09
Country_2,1994,16.38
Country_2,1995,16.19
Country_2,1996,17.01
Country_2,1997,16.58
Country_2,1998,16.91
Country_2,1999,16.99
Country_2,2000,16.7
Country_2,2001,16.77
Country_2,2002,17.0
Country_2,2003,16.75
Country_2,2004,16.46
Country_2,2005,16.77
Country_2,2006,16.84
Country_2,2007,17.21
Country_2,2008,17.28
Country_2,2009,16.94
Country_2,2010,16.9
Country_2,2011,16.68
Country_2,2012,16.77
Country_2,2013,17.16
Country_2,2014,16.63
Country_2,2015,16.59
Country_2,2016,17.26
Country_2,2017,16.78
Country_2,2018,16.8
Country_2,2019,16.82
Country_2,2020,17.45
Country_2,2021,16.93
Country_2,2022,17.52
Country_2,2023,17.24
Country_3,1900,11.57
Country_3,1901,11.32
Country_3,1902,10.29
Country_3,1903,11.45
Country_3,1904,10.87
Country_3,1905,11.47
Country_3,1906,11.52
Country_3,1907,11.67
Country_3,1908,11.23
Country_3,1909,11.19
Country_3,1910,11.58
Country_3,1911,11.47
Country_3,1912,11.49
Country_3,1913,11.09
Country_3,1914,11.59
Country_3,1915,11.54
Country_3,1916,11.6
Country_3,1917,11.44
Country_3,1918,11.03
Country_3,1919,11.63
Country_3,1920,11.57
Country_3,1921,11.94
Country_3,1922,11.27
Country_3,1923,11.95
Country_3,1924,11.6
Country_3,1925,11.87
Country_3,1926,11.96
Country_3,1927,11.51
Country_3,1928,12.01
Country_3,1929,11.73
Country_3,1930,11.97
Country_3,1931,11.95
Country_3,1932,12.16
Country_3,1933,11.78
Country_3,1934,11.41
Country_3,1935,11.83
Country_3,1936,11.65
Country_3,1937,11.85
Country_3,1938,12.62
Country_3,1939,11.56
Country_3,1940,11.9
Country_3,1941,11.8
Country_3,1942,12.09
Country_3,1943,11.96
Country_3,1944,11.91
Country_3,1945,11.66
Country_3,1946,11.85
Country_3,1947,11.77
Country_3,1948,12.14
Country_3,1949,12.37
Country_3,1950,12.0
Country_3,1951,12.13
Country_3,1952,11.78
Country_3,1953,12.74
Country_3,1954,11.78
Country_3,1955,11.63
Country_3,1956,11.59
Country_3,1957,12.47
Country_3,1958,11.68
Country_3,1959,12.6
Country_3,1960,12.3
Country_3,1961,12.11
Country_3,1962,11.89
Country_3,1963,12.6
Country_3,1964,11.8
Country_3,1965,11.89
Country_3,1966,12.49
Country_3,1967,12.21
Country_3,1968,12.43
Country_3,1969,12.28
Country_3,1970,12.32
Country_3,1971,11.77
Country_3,1972,11.75
Country_3,1973,12.09
Country_3,1974,12.5
Country_3,1975,12.5
Country_3,1976,12.44
Country_3,1977,12.77
Country_3,1978,12.15
Country_3,1979,12.26
Country_3,1980,12.61
Country_3,1981,12.81
Country_3,1982,12.75
Country_3,1983,12.59
Country_3,1984,12.18
Country_3,1985,11.93
Country_3,1986,12.65
Country_3,1987,13.29
Country_3,1988,12.49
Country_3,1989,12.15
Country_3,1990,12.86
Country_3,1991,12.75
Country_3,1992,12.63
Country_3,1993,12.67
Country_3,1994,12.14
Country_3,1995,13.01
Country_3,1996,12.45
Country_3,1997,12.86
Country_3,1998,13.19
Country_3,1999,12.66
Country_3,2000,12.72
Country_3,2001,13.34
Country_3,2002,13.08
Country_3,2003,12.93
Country_3,2004,13.02
Country_3,2005,12.84
Country_3,2006,12.43
Country_3,2007,13.68
Country_3,2008,13.22
Country_3,2009,13.43
Country_3,2010,12.62
Country_3,2011,12.74
Country_3,2012,13.12
Country_3,2013,12.64
Country_3,2014,13.04
Country_3,2015,12.75
Country_3,2016,13.52
Country_3,2017,13.24
Country_3,2018,13.1
Country_3,2019,13.21
Country_3,2020,13.26
Country_3,2021,12.72
Country_3,2022,13.78
Country_3,2023,13.4
Country_4,1900,22.97
Country_4,1901,22.96
Country_4,1902,23.21
Country_4,1903,23.36
Country_4,1904,23.65
Country_4,1905,22.85
Country_4,1906,23.08
Country_4,1907,23.43
Country_4,1908,23.31
Country_4,1909,23.26
Country_4,1910,23.78
Country_4,1911,23.78
Country_4,1912,23.17
Country_4,1913,23.42
Country_4,1914,23.51
Country_4,1915,22.95
Country_4,1916,23.0
Country_4,1917,22.88
Country_4,1918,23.27
Country_4,1919,23.57
Country_4,1920,23.47
Country_4,1921,23.19
Country_4,1922,23.49
Country_4,1923,23.25
Country_4,1924,23.12
Country_4,1925,23.48
Country_4,1926,23.38
Country_4,1927,23.43
Country_4,1928,23.81
Country_4,1929,24.07
Country_4,1930,23.76
Country_4,1931,23.68
Country_4,1932,23.25
Country_4,1933,23.47
Country_4,1934,24.04
Country_4,1935,23.47
Country_4,1936,23.61
Country_4,1937,23.89
Country_4,1938,23.55
Country_4,1939,23.84
Country_4,1940,23.93
Country_4,1941,23.53
Country_4,1942,24.42
Country_4,1943,23.73
Country_4,1944,24.09
Country_4,1945,23.93
Country_4,1946,24.01
Country_4,1947,24.23
Country_4,1948,24.01
Country_4,1949,24.08
Country_4,1950,24.01
Country_4,1951,23.96
Country_4,1952,24.34
Country_4,1953,23.96
Country_4,1954,23.92
Country_4,1955,23.57
Country_4,1956,24.37
Country_4,1957,23.69
Country_4,1958,24.56
Country_4,1959,24.49
Country_4,1960,23.61
Country_4,1961,23.83
Country_4,1962,24.56
Country_4,1963,24.4
Country_4,1964,23.88
Country_4,1965,23.95
Country_4,1966,23.82
Country_4,1967,24.13
Country_4,1968,23.88
Country_4,1969,24.28
Country_4,1970,24.78
Country_4,1971,23.88
Country_4,1972,24.35
Country_4,1973,24.21
Country_4,1974,23.93
Country_4,1975,24.18
Country_4,1976,24.13
Country_4,1977,24.15
Country_4,1978,24.31
Country_4,1979,24.29
Country_4,1980,24.82
Country_4,1981,24.38
Country_4,1982,24.62
Country_4,1983,24.44
Country_4,1984,23.96
Country_4,1985,24.61
Country_4,1986,23.98
Country_4,1987,24.31
Country_4,1988,24.18
Country_4,1989,24.55
Country_4,1990,24.2
Country_4,1991,25.14
Country_4,1992,24.56
Country_4,1993,24.55
Country_4,1994,24.43
Country_4,1995,24.62
Country_4,1996,24.87
Country_4,1997,24.62
Country_4,1998,24.67
Country_4,1999,25.07
Country_4,2000,24.69
Country_4,2001,24.88
Country_4,2002,24.6
Country_4,2003,24.94
Country_4,2004,24.74
Country_4,2005,24.73
Country_4,2006,24.7
Country_4,2007,24.69
Country_4,2008,24.85
Country_4,2009,24.9
Country_4,2010,25.21
Country_4,2011,24.16
Country_4,2012,25.1
Country_4,2013,24.74
Country_4,2014,25.24
Country_4,2015,25.26
Country_4,2016,24.56
Country_4,2017,25.08
Country_4,2018,24.98
Country_4,2019,24.56
Country_4,2020,25.09
Country_4,2021,25.03
Country_4,2022,24.35
Country_4,2023,24.73
Country_5,1900,14.65
Country_5,1901,14.28
Country_5,1902,14.14
Country_5,1903,14.34
Country_5,1904,14.76
Country_5,1905,14.73
Country_5,1906,14.69
Country_5,1907,14.35
Country_5,1908,14.61
Country_5,1909,14.71
Country_5,1910,13.99
Country_5,1911,14.44
Country_5,1912,15.19
Country_5,1913,15.1
Country_5,1914,14.3
Country_5,1915,13.89
Country_5,1916,15.07
Country_5,1917,14.67
Country_5,1918,14.52
Country_5,1919,14.05
Country_5,1920,14.41
Country_5,1921,14.7
Country_5,1922,14.86
Country_5,1923,14.67
Country_5,1924,14.48
Country_5,1925,14.11
Country_5,1926,14.65
Country_5,1927,14.23
Country_5,1928,15.03
Country_5,1929,14.66
Country_5,1930,14.62
Country_5,1931,14.19
Country_5,1932,15.32
Country_5,1933,14.83
Country_5,1934,15.25
Country_5,1935,15.14
Country_5,1936,14.94
Country_5,1937,14.74
Country_5,1938,14.37
Country_5,1939,15.35
Country_5,1940,15.54
Country_5,1941,14.67
Country_5,1942,15.17
Country_5,1943,14.82
Country_5,1944,15.52
Country_5,1945,15.5
Country_5,1946,14.78
Country_5,1947,15.04
Country_5,1948,15.06
Country_5,1949,14.76
Country_5,1950,15.7
Country_5,1951,15.14
Country_5,1952,14.83
Country_5,1953,15.66
Country_5,1954,15.17
Country_5,1955,15.32
Country_5,1956,15.38
Country_5,1957,15.91
Country_5,1958,14.93
Country_5,1959,15.13
Country_5,1960,15.23
Country_5,1961,15.21
Country_5,1962,15.18
Country_5,1963,14.88
Country_5,1964,15.23
Country_5,1965,15.25
Country_5,1966,15.45
Country_5,1967,15.19
Country_5,1968,16.22
Country_5,1969,15.5
Country_5,1970,15.78
Country_5,1971,14.57
Country_5,1972,16.05
Country_5,1973,15.6
Country_5,1974,15.22
Country_5,1975,15.66
Country_5,1976,15.65
Country_5,1977,15.75
Country_5,1978,15.31
Country_5,1979,15.52
Country_5,1980,15.59
Country_5,1981,15.35
Country_5,1982,15.56
Country_5,1983,15.35
Country_5,1984,15.18
Country_5,1985,15.74
Country_5,1986,15.68
Country_5,1987,16.06
Country_5,1988,15.96
Country_5,1989,16.55
Country_5,1990,15.18
Country_5,1991,15.79
Country_5,1992,15.58
Country_5,1993,15.82
Country_5,1994,15.71
Country_5,1995,16.07
Country_5,1996,15.76
Country_5,1997,15.66
Country_5,1998,16.01
Country_5,1999,15.93
Country_5,2000,15.75
Country_5,2001,16.08
Country_5,2002,15.49
Country_5,2003,16.36
Country_5,2004,15.83
Country_5,2005,15.64
Country_5,2006,16.36
Country_5,2007,16.48
Country_5,2008,15.74
Country_5,2009,15.72
Country_5,2010,15.58
Country_5,2011,15.75
Country_5,2012,16.04
Country_5,2013,16.24
Country_5,2014,16.13
Country_5,2015,16.29
Country_5,2016,16.42
Country_5,2017,15.7
Country_5,2018,16.35
Country_5,2019,15.92
Country_5,2020,15.97
Country_5,2021,16.27
Country_5,2022,16.31
Country_5,2023,16.3
Country_6,1900,20.04
Country_6,1901,20.1
Country_6,1902,19.89
Country_6,1903,20.21
Country_6,1904,20.11
Country_6,1905,20.6
Country_6,1906,19.77
Country_6,1907,20.39
Country_6,1908,20.84
Country_6,1909,20.05
Country_6,1910,20.07
Country_6,1911,20.22
Country_6,1912,20.01
